,Year,LocationAbbr,Location,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
598599,2019,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.4,###,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),0.9,2.2,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW5_2,MEDIAN,RACE,OTH
598610,2013,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,%,Age-adjusted Prevalence,45.3,,,37.3,53.6,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW11_1,AGEADJPREV,RACE,MRC
598617,2018,GU,Guam,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,Crude Prevalence,49.1,,,33.8,64.5,Gender,Female,POINT (144.793731 13.444304),66,DIA,DIA13_2,CRDPREV,GENDER,GENF
598618,2019,GU,Guam,BRFSS,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,Age-adjusted Prevalence,22.1,,,19.1,25.3,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,OVC,OVC6_1,AGEADJPREV,RACE,OTH
598619,2018,GU,Guam,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Age-adjusted Prevalence,16.0,,,13.4,19.0,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,DIA,DIA2_1,AGEADJPREV,RACE,OTH
598624,2013,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,Crude Prevalence,73.6,,,63.3,81.8,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,NPAW,NPAW2_1,CRDPREV,RACE,HIS
598627,2011,GU,Guam,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,Crude Prevalence,16.3,,,12.3,21.3,Overall,Overall,POINT (144.793731 13.444304),66,TOB,TOB11_1,CRDPREV,OVERALL,OVR
598628,2019,GU,Guam,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,31.8,,,20.9,45.2,Gender,Male,POINT (144.793731 13.444304),66,DIA,DIA11_3,AGEADJPREV,GENDER,GENM
598630,2014,GU,Guam,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,26.9,,,23.4,30.7,Gender,Male,POINT (144.793731 13.444304),66,IMM,IMM1_0,AGEADJPREV,GENDER,GENM
598631,2014,GU,Guam,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Crude Prevalence,41.5,,,31.4,52.3,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,DIA,DIA12_1,CRDPREV,RACE,OTH
598633,2013,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,%,Crude Prevalence,29.3,,,26.4,32.4,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW11_3,CRDPREV,OVERALL,OVR
598642,2015,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,,,2.8,4.3,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENM
598646,2019,GU,Guam,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,60.3,,,47.5,71.9,Gender,Female,POINT (144.793731 13.444304),66,DIA,DIA7_0,AGEADJPREV,GENDER,GENF
598648,2019,GU,Guam,BRFSS,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,Age-adjusted Prevalence,25.9,,,19.5,33.6,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,OVC,OVC6_1,AGEADJPREV,RACE,MRC
598649,2015,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,Crude Prevalence,33.5,,,29.6,37.7,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW3_1,CRDPREV,RACE,OTH
598651,2019,GU,Guam,BRFSS,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,%,Age-adjusted Prevalence,85.7,,,82.4,88.4,Gender,Male,POINT (144.793731 13.444304),66,CVD,CVD4_0,AGEADJPREV,GENDER,GENM
598653,2019,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.2,,,3.5,4.9,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,AGEADJMEAN,RACE,OTH
598657,2012,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,Age-adjusted Prevalence,35.4,,,32.6,38.2,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW3_1,AGEADJPREV,OVERALL,OVR
598658,2016,GU,Guam,BRFSS,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,Crude Prevalence,79.2,,,71.9,85.0,Overall,Overall,POINT (144.793731 13.444304),66,OVC,OVC1_2,CRDPREV,OVERALL,OVR
598659,2012,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Crude Prevalence,27.1,,,18.8,37.4,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,NPAW,NPAW10_0,CRDPREV,RACE,HIS
598663,2015,GU,Guam,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Crude Prevalence,12.2,,,9.5,15.6,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,DIA,DIA2_1,CRDPREV,RACE,OTH
598670,2014,GU,Guam,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,52.8,,,39.0,66.3,Gender,Male,POINT (144.793731 13.444304),66,DIA,DIA6_0,AGEADJPREV,GENDER,GENM
598672,2013,GU,Guam,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,32.9,,,28.5,37.6,Gender,Male,POINT (144.793731 13.444304),66,CVD,CVD5_0,AGEADJPREV,GENDER,GENM
598674,2018,GU,Guam,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,26.0,,,21.9,30.6,Gender,Female,POINT (144.793731 13.444304),66,IMM,IMM1_0,AGEADJPREV,GENDER,GENF
598679,2013,GU,Guam,BRFSS,Tobacco,Quit attempts in the past year among current smokers,%,Crude Prevalence,76.4,,,71.3,80.9,Overall,Overall,POINT (144.793731 13.444304),66,TOB,TOB3_0,CRDPREV,OVERALL,OVR
598682,2012,GU,Guam,BRFSS,Overarching Conditions,Self-rated health status among women aged 18-44 years,%,Crude Prevalence,82.2,,,78.1,85.6,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,OVC,OVC6_2,CRDPREV,RACE,OTH
598684,2017,GU,Guam,BRFSS,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,%,Age-adjusted Prevalence,32.1,,,29.3,35.1,Overall,Overall,POINT (144.793731 13.444304),66,CVD,CVD6_1,AGEADJPREV,OVERALL,OVR
598692,2019,GU,Guam,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,67.3,,,59.4,74.2,Overall,Overall,POINT (144.793731 13.444304),66,DIA,DIA5_0,CRDPREV,OVERALL,OVR
598700,2013,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Age-adjusted Prevalence,25.1,,,16.8,35.9,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,NPAW,NPAW10_0,AGEADJPREV,RACE,HIS
598720,2012,GU,Guam,BRFSS,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,Crude Prevalence,70.8,,,66.2,75.0,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,OVC,OVC1_2,CRDPREV,RACE,OTH
598723,2012,GU,Guam,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,Age-adjusted Prevalence,29.9,,,19.6,42.6,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,DIA,DIA10_0,AGEADJPREV,RACE,OTH
598725,2012,GU,Guam,BRFSS,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,Crude Prevalence,34.6,,,23.9,47.1,Overall,Overall,POINT (144.793731 13.444304),66,CVD,CVD9_1,CRDPREV,OVERALL,OVR
598726,2011,GU,Guam,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,Crude Prevalence,32.3,,,27.7,37.2,Gender,Male,POINT (144.793731 13.444304),66,CVD,CVD5_0,CRDPREV,GENDER,GENM
598728,2012,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,27.6,,,24.2,31.3,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENF
598731,2014,GU,Guam,BRFSS,Overarching Conditions,Self-rated health status among women aged 18-44 years,%,Crude Prevalence,98.1,,,94.0,99.4,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,OVC,OVC6_2,CRDPREV,RACE,WHT
598742,2013,GU,Guam,BRFSS,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,Mean,2.1,,,1.7,2.4,Overall,Overall,POINT (144.793731 13.444304),66,OVC,OVC7_2,MEAN,OVERALL,OVR
598747,2015,GU,Guam,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,29.7,,,26.6,33.0,Overall,Overall,POINT (144.793731 13.444304),66,IMM,IMM1_0,CRDPREV,OVERALL,OVR
598749,2015,GU,Guam,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Age-adjusted Prevalence,14.4,,,11.3,18.1,Gender,Male,POINT (144.793731 13.444304),66,DIA,DIA2_1,AGEADJPREV,GENDER,GENM
598753,2018,GU,Guam,BRFSS,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted Prevalence,17.7,,,14.0,22.1,Gender,Female,POINT (144.793731 13.444304),66,OVC,OVC1_1,AGEADJPREV,GENDER,GENF
598769,2019,GU,Guam,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,37.6,,,29.4,46.5,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,IMM,IMM1_0,AGEADJPREV,RACE,MRC
598775,2018,GU,Guam,BRFSS,Tobacco,Current cigarette smoking among women aged 18-44 years,%,Crude Prevalence,12.2,,,7.6,19.0,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,TOB,TOB1_3,CRDPREV,RACE,OTH
598776,2012,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,60.4,,,56.8,63.9,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW2_1,AGEADJPREV,RACE,OTH
598783,2017,GU,Guam,BRFSS,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,%,Crude Prevalence,88.5,,,85.3,91.1,Gender,Male,POINT (144.793731 13.444304),66,CVD,CVD4_0,CRDPREV,GENDER,GENM
598788,2014,GU,Guam,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Crude Prevalence,48.0,,,45.0,50.9,Overall,Overall,POINT (144.793731 13.444304),66,ORH,ORH4_3,CRDPREV,OVERALL,OVR
598789,2014,GU,Guam,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,10.1,,,6.1,16.5,Gender,Female,POINT (144.793731 13.444304),66,DIA,DIA11_3,AGEADJPREV,GENDER,GENF
598790,2015,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,%,Crude Prevalence,36.2,,,31.2,41.5,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW11_3,CRDPREV,GENDER,GENM
598798,2018,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,Age-adjusted Prevalence,35.7,,,32.4,39.2,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW3_1,AGEADJPREV,OVERALL,OVR
598799,2013,GU,Guam,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,28.6,,,19.9,39.2,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,IMM,IMM1_0,CRDPREV,RACE,HIS
598801,2016,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Age-adjusted Prevalence,22.0,,,15.5,30.3,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW10_0,AGEADJPREV,RACE,MRC
598802,2019,GU,Guam,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Crude Prevalence,25.7,,,15.1,40.4,Gender,Female,POINT (144.793731 13.444304),66,DIA,DIA13_1,CRDPREV,GENDER,GENF
598804,2011,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.8,,,2.1,3.4,Gender,Male,POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,GENDER,GENM
598807,2019,GU,Guam,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,31.1,,,24.6,38.5,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,CVD,CVD5_0,AGEADJPREV,RACE,WHT
598810,2011,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Age-adjusted Prevalence,44.6,,,34.9,54.8,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,NPAW,NPAW10_0,AGEADJPREV,RACE,HIS
598816,2016,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Crude Prevalence,29.6,,,26.3,33.2,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW10_0,CRDPREV,OVERALL,OVR
598818,2018,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,Crude Prevalence,66.6,,,53.6,77.5,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW2_1,CRDPREV,RACE,MRC
598821,2012,GU,Guam,BRFSS,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,Mean,3.1,,,2.7,3.5,Overall,Overall,POINT (144.793731 13.444304),66,OVC,OVC7_1,MEAN,OVERALL,OVR
598822,2012,GU,Guam,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,24.9,,,22.4,27.5,Overall,Overall,POINT (144.793731 13.444304),66,TOB,TOB1_2,AGEADJPREV,OVERALL,OVR
598830,2018,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Crude Prevalence,34.1,,,24.3,45.5,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,NPAW,NPAW1_1,CRDPREV,RACE,HIS
598832,2019,GU,Guam,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,Age-adjusted Prevalence,39.3,,,24.1,57.0,Gender,Female,POINT (144.793731 13.444304),66,DIA,DIA13_2,AGEADJPREV,GENDER,GENF
598833,2014,GU,Guam,BRFSS,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,Age-adjusted Prevalence,34.6,,,21.2,51.1,Gender,Female,POINT (144.793731 13.444304),66,CVD,CVD9_1,AGEADJPREV,GENDER,GENF
598834,2012,GU,Guam,BRFSS,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,Age-adjusted Mean,1.9,,,1.4,2.3,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,OVC,OVC7_2,AGEADJMEAN,RACE,OTH
598843,2014,GU,Guam,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,62.4,,,52.7,71.3,Overall,Overall,POINT (144.793731 13.444304),66,DIA,DIA5_0,AGEADJPREV,OVERALL,OVR
598844,2013,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,26.2,,,22.5,30.3,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENM
598846,2013,GU,Guam,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Crude Prevalence,14.6,,,12.0,17.5,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,DIA,DIA2_1,CRDPREV,RACE,OTH
598848,2018,GU,Guam,BRFSS,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,Mean,2.4,,,1.6,3.2,Gender,Male,POINT (144.793731 13.444304),66,OVC,OVC7_2,MEAN,GENDER,GENM
598849,2019,GU,Guam,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,79.5,,,73.9,84.2,Overall,Overall,POINT (144.793731 13.444304),66,DIA,DIA11_2,CRDPREV,OVERALL,OVR
598853,2013,GU,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.2,,,7.8,15.8,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH2_0,CRDPREV,RACE,OTH
598861,2019,GU,Guam,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,60.9,,,49.3,71.5,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,DIA,DIA6_0,AGEADJPREV,RACE,OTH
598864,2011,GU,Guam,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Age-adjusted Prevalence,53.7,,,42.3,64.7,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,DIA,DIA13_1,AGEADJPREV,RACE,OTH
598872,2017,GU,Guam,BRFSS,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,Age-adjusted Prevalence,23.5,,,19.7,27.9,Gender,Female,POINT (144.793731 13.444304),66,OVC,OVC6_1,AGEADJPREV,GENDER,GENF
598877,2014,GU,Guam,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,29.3,,,26.1,32.6,Gender,Female,POINT (144.793731 13.444304),66,IMM,IMM1_0,AGEADJPREV,GENDER,GENF
598880,2014,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,62.4,,,59.1,65.6,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW2_1,AGEADJPREV,RACE,OTH
598886,2013,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,Crude Prevalence,41.6,,,32.3,51.5,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW3_1,CRDPREV,RACE,WHT
598888,2016,GU,Guam,BRFSS,Tobacco,Quit attempts in the past year among current smokers,%,Age-adjusted Prevalence,63.2,,,52.7,72.5,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,TOB,TOB3_0,AGEADJPREV,RACE,OTH
598898,2016,GU,Guam,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Crude Prevalence,36.7,,,23.3,52.5,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,DIA,DIA12_1,CRDPREV,RACE,OTH
598909,2015,GU,Guam,BRFSS,Overarching Conditions,Self-rated health status among women aged 18-44 years,%,Crude Prevalence,86.9,,,73.1,94.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,OVC,OVC6_2,CRDPREV,RACE,MRC
598913,2016,GU,Guam,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,12.6,,,7.2,21.2,Overall,Overall,POINT (144.793731 13.444304),66,ORH,ORH4_1,AGEADJPREV,OVERALL,OVR
598915,2017,GU,Guam,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,27.9,,,23.8,32.4,Gender,Female,POINT (144.793731 13.444304),66,CVD,CVD5_0,AGEADJPREV,GENDER,GENF
598916,2015,GU,Guam,BRFSS,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,%,Age-adjusted Prevalence,74.1,,,70.4,77.5,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,CVD,CVD4_0,AGEADJPREV,RACE,OTH
598917,2016,GU,Guam,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Crude Prevalence,77.0,,,66.4,85.0,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,ORH,ORH1_1,CRDPREV,RACE,WHT
598922,2015,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,%,Age-adjusted Prevalence,20.8,,,18.1,23.8,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW11_2,AGEADJPREV,OVERALL,OVR
598923,2015,GU,Guam,BRFSS,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,%,Crude Prevalence,30.5,,,26.7,34.5,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,CVD,CVD6_1,CRDPREV,RACE,OTH
598927,2017,GU,Guam,BRFSS,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,Mean,2.6,,,2.2,3.0,Overall,Overall,POINT (144.793731 13.444304),66,OVC,OVC7_2,MEAN,OVERALL,OVR
598931,2014,GU,Guam,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,28.1,,,25.6,30.8,Overall,Overall,POINT (144.793731 13.444304),66,TOB,TOB1_2,AGEADJPREV,OVERALL,OVR
598940,2017,GU,Guam,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,30.7,,,27.7,33.9,Overall,Overall,POINT (144.793731 13.444304),66,IMM,IMM1_0,CRDPREV,OVERALL,OVR
598945,2015,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,33.0,,,28.5,37.7,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW1_1,AGEADJPREV,GENDER,GENM
598948,2016,GU,Guam,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,48.6,,,40.0,57.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,ORH,ORH4_3,AGEADJPREV,RACE,MRC
598949,2017,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,Crude Prevalence,70.7,,,66.1,74.9,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW2_1,CRDPREV,GENDER,GENM
598953,2017,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,%,Crude Prevalence,44.6,,,41.2,48.0,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW11_1,CRDPREV,OVERALL,OVR
598959,2012,GU,Guam,BRFSS,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,Crude Prevalence,11.3,,,7.0,17.9,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,OVC,OVC6_1,CRDPREV,RACE,WHT
598960,2017,GU,Guam,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,Crude Prevalence,26.7,,,20.2,34.4,Overall,Overall,POINT (144.793731 13.444304),66,TOB,TOB11_1,CRDPREV,OVERALL,OVR
598967,2013,GU,Guam,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,75.0,,,61.7,84.7,Gender,Male,POINT (144.793731 13.444304),66,DIA,DIA6_0,CRDPREV,GENDER,GENM
598970,2016,GU,Guam,BRFSS,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,Crude Prevalence,23.9,,,15.3,35.1,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (144.793731 13.444304),66,OVC,OVC1_1,CRDPREV,RACE,MRC
598980,2016,GU,Guam,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Age-adjusted Prevalence,29.3,,,25.2,33.8,Gender,Female,POINT (144.793731 13.444304),66,IMM,IMM1_0,AGEADJPREV,GENDER,GENF
598981,2018,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.0,,,2.4,3.6,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,MTH,MTH1_0,MEAN,RACE,OTH
598982,2015,GU,Guam,BRFSS,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.8,,,1.4,4.1,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,OVC,OVC7_1,AGEADJMEAN,RACE,WHT
598983,2016,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,Crude Prevalence,58.2,,,48.9,67.1,Race/Ethnicity,"Other, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW2_3,CRDPREV,RACE,OTH
598990,2012,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Crude Prevalence,42.5,,,30.9,55.1,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,NPAW,NPAW1_1,CRDPREV,RACE,HIS
